time,mv
29.48,26.8
29.50,27
29.52,27.3
29.54,25.8
29.56,26.8
29.58,27
30.00,26.5
30.02,25.8
30.04,26.8
30.06,27.5
30.08,27
30.10,27.5
30.12,27.3
30.14,28.2
30.16,27
30.18,26.8
30.22,27
30.24,26
30.26,27
30.28,26.3
30.30,26
30.32,26.5
30.34,27
30.38,26.8
30.40,26.5
30.42,26.3
30.44,27
30.46,26.8
30.48,27.5
30.50,27.3
30.52,26.3
30.54,26.8
30.56,26.3
30.58,26.8
31.02,26.5
31.04,26.8
31.06,26.3
31.08,27
31.10,26.8
31.12,26.5
31.20,27
31.22,26.3
31.28,26.5
31.30,26.8
31.32,26.8
31.34,26
31.36,27.3
31.42,26.8
31.46,26.5
31.48,27.3
31.50,28
31.52,27.5
31.54,28.2
31.56,28.5
31.58,27.5
32.00,27.3
32.02,27.5
32.04,27.3
32.06,27.7
32.10,27.3
32.14,27.7
32.16,26.8
32.20,27
32.22,27.3
32.24,27
32.26,26.8
32.28,26.5
32.30,27.3
32.32,27.5
32.34,27.7
32.36,27.3
32.38,27
32.40,26.5
32.42,27
32.46,27.3
32.48,26.5
32.52,27
32.54,27.5
32.58,27.7
33.00,26.5
33.02,26.8
33.04,26.5
33.08,27.3
33.12,27.7
33.14,27.3
33.16,26.8
33.18,27.7
33.20,27.5
33.28,27.7
33.30,26.5
33.32,27.7
33.34,27
33.36,26.8
33.38,27.3
33.40,28
33.42,27.5
33.44,28
33.46,27.5
33.48,26.8
33.50,27.3
33.52,27.7
33.54,27.3
33.56,27.5
34.00,28.2
34.02,27.5
34.04,27.3
34.06,26.5
34.08,26.8
34.10,27.3
34.12,28
34.14,26.8
34.16,27
34.18,26.8
34.20,28.5
34.22,28
34.24,27.5
34.26,27.3
34.28,26.5
34.30,28
34.34,27.5
34.36,27.3
34.38,26.5
34.40,27.5
34.42,28.2
34.44,27.5
34.46,27.3
34.48,26.3
34.50,26.8
34.52,28
34.54,27.3
34.58,26.3
35.00,27
35.02,27.5
35.04,27.3
35.06,27
35.08,27.5
35.10,28.2
35.12,26.8
35.14,27.3
35.16,26.3
35.22,27.3
35.26,27.7
35.28,27.5
35.30,28.2
35.32,27.3
35.34,27
35.36,27.7
35.38,27
35.40,26.5
35.42,26.8
35.44,27
35.46,26.8
35.48,26.3
35.50,26.5
35.52,26.3
35.56,27.5
35.58,26.8
36.00,27.3
36.02,26.5
36.04,26.8
36.06,26.5
36.08,27
36.10,27.5
36.12,27.3
36.16,27.5
36.18,27.3
36.22,27
36.26,26.5
36.30,27
36.32,27.7
36.34,26.8
36.36,26.5
36.40,27.3
36.44,27
36.54,27.5
36.56,28
36.58,27
37.02,26.8
37.04,27.5
37.06,27.3
37.08,26.8
37.10,27.5
37.12,26.5
37.16,27
37.18,26.3
37.20,27.3
37.22,27.5
37.24,26.8
37.26,27.5
37.28,27
37.30,26.8
37.32,27.5
37.34,27.7
37.36,27.5
37.38,27
37.40,26.3
37.42,27.3
37.44,26.8
37.48,27.3
37.50,26.5
37.52,27.3
37.54,27.7
37.56,27.3
37.58,26.5
38.00,26.8
38.02,26.3
38.06,26.8
38.08,27.3
38.10,26.5
38.14,28
38.16,27.3
38.22,26.5
38.24,27
38.26,26.5
38.28,26.8
38.32,27
38.34,26
38.36,26.8
38.40,27
38.44,27.7
38.46,26.3
38.48,25.8
38.50,26.5
38.52,27
38.56,26.5
38.58,26.8
39.02,26.5
39.04,28
39.06,26.5
39.08,27
39.10,27.7
39.12,27
39.16,27.3
39.18,27.5
39.22,26.5
39.26,27
39.28,26.5
39.32,26.3
39.34,27.7
39.36,26.5
39.38,27
39.40,26.3
39.42,26.8
39.48,26
39.50,27.3
